"품목별(1)","품목별(2)",품목별(3),품목별(4),품목별(5),품목별(6),품목별(7),품목별(8),시점,생산지수,생산금액 (십억원)
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1992,143.0,7709.9
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1993,128.1,7207.8
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1994,130.8,7729.2
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1995,126.1,7878.8
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1996,141.5,9857.5
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1997,141.1,10271.3
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1998,132.7,10170.9
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1999,138.3,11196.4
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2000,136.2,11435.5
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2001,140.0,11774.8
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2002,128.0,10475.5
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2003,114.0,9755.2
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2004,130.6,11203.3
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2005,128.8,9738.3
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2006,122.7,9411.8
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2007,116.0,8909.5
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2008,126.3,11148.9
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2009,128.2,10488.8
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2010,111.7,8528.8
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2011,110.5,10212.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2012,107.0,10597.4
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2013,114.4,10956.7
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2014,112.7,9904.4
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2015,111.5,9413.3
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2016,108.3,8007.7
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2017,102.9,8377.7
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2018,101.5,10731.3
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2019,102.5,10492.3
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2020,93.8,10481.2
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2021,103.8,11949.5
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,2022,101.5,10219.1
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1965,94.3,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1966,105.6,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1967,97.1,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1968,86.1,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1969,110.2,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1970,106.2,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1971,107.7,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1972,106.6,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1973,113.5,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1974,119.8,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1975,125.8,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1976,140.5,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1977,161.8,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1978,156.2,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1979,150.0,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1980,95.7,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1981,136.4,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1982,139.5,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1983,145.6,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1984,153.1,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1985,151.6,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1986,151.1,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1987,148.0,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1988,163.1,0.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1989,158.9,6044.1
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1990,151.1,6538.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1991,145.1,6398.3
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1992,143.7,6723.2
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1993,128.0,6281.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1994,136.3,6813.3
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1995,126.5,6759.8
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1996,143.4,8613.2
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1997,146.9,9192.8
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1998,137.3,9182.6
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,1999,141.8,10045.1
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2000,142.6,10504.6
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2001,148.6,10721.7
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2002,132.8,9556.4
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2003,119.9,8835.9
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2004,134.7,9963.1
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2005,128.5,8536.8
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2006,126.1,8405.7
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2007,118.8,7857.5
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2008,130.5,9379.6
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2009,132.5,8680.0
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2010,115.8,6787.4
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2011,113.8,8008.8
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2012,108.0,8117.5
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2013,114.0,8531.7
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2014,114.3,8153.6
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2015,116.6,7697.2
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2016,113.1,6391.9
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2017,107.0,6619.6
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2018,104.2,8401.2
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2019,100.9,8350.7
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2020,94.5,8448.7
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2021,104.6,9526.3
"농림업","농업",농업총계,재배업,식량작물,미곡,소계,소계,2022,101.4,7875.2
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1965,1355.0,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1966,1504.5,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1967,1434.3,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1968,1553.7,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1969,1553.0,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1970,1485.1,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1971,1398.6,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1972,1440.7,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1973,1275.3,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1974,1209.6,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1975,1485.1,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1976,1508.7,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1977,708.3,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1978,1113.8,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1979,1279.7,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1980,730.7,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1981,744.8,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1982,660.5,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1983,748.7,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1984,665.6,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1985,460.5,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1986,363.2,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1987,416.9,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1988,451.5,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1989,412.5,310.9
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1990,330.9,295.2
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1991,266.5,296.6
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1992,246.5,293.1
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1993,248.6,311.9
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1994,178.8,237.2
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1995,223.9,293.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1996,229.5,299.9
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1997,148.4,199.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1998,145.2,197.8
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,1999,186.9,276.5
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2000,126.8,195.3
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2001,214.0,345.1
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2002,169.1,261.1
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2003,128.8,207.4
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2004,146.7,231.4
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2005,156.1,249.8
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2006,119.0,187.9
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2007,136.7,211.9
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2008,140.2,209.2
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2009,129.9,182.2
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2010,91.7,119.8
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2011,90.9,136.1
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2012,72.3,111.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2013,68.0,101.1
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2014,87.7,130.7
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2015,79.3,149.7
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2016,86.1,158.3
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2017,85.9,157.4
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2018,100.6,169.9
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2019,120.0,155.7
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2020,90.8,135.2
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2021,89.2,126.0
"농림업","농업",농업총계,재배업,식량작물,맥류,소계,소계,2022,78.6,113.6
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1965,3562.4,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1966,3665.1,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1967,3487.5,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1968,3148.5,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1969,3431.2,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1970,3066.8,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1971,2795.2,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1972,2833.9,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1973,2472.2,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1974,2663.5,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1975,3209.7,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1976,3154.3,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1977,1313.0,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1978,2340.0,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1979,2354.1,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1980,1225.7,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1981,1109.9,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1982,910.9,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1983,1169.0,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1984,1016.7,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1985,745.1,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1986,516.4,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1987,621.3,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1988,632.6,0.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1989,540.1,72.9
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1990,431.8,69.1
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1991,307.3,59.6
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1992,264.1,54.7
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1993,226.7,49.5
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1994,159.0,36.4
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1995,196.2,45.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1996,180.4,41.3
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1997,106.3,25.4
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1998,108.1,26.0
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,1999,140.1,36.9
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,2000,101.1,27.5
"농림업","농업",농업총계,재배업,식량작물,맥류,겉보리,소계,2001,136.1,39.5
